openaq_id,sensor_id,parameter,col_name,date_first,date_last
8285,7775409,pm25,PM2_5,2024-01-28,2026-04-07
8285,7775843,pm10,PM10,2024-01-28,2026-04-07
8284,24119,o3,O3,2020-05-06,2026-04-10
8284,24120,no2,NO2,2020-05-06,2026-04-10
8284,7774785,pm25,PM2_5,2024-01-28,2026-04-07
8284,7774822,pm10,PM10,2024-01-28,2026-04-07
7681,24823,no2,NO2,2020-05-06,2025-12-17
7681,24822,o3,O3,2020-05-06,2025-12-17
8075,24106,no2,NO2,2020-05-06,2026-04-10
8075,7774118,pm10,PM10,2024-01-28,2026-04-10
8075,7774426,pm25,PM2_5,2024-01-28,2026-04-10
8278,24104,o3,O3,2020-05-06,2026-04-10
8278,24105,no2,NO2,2020-05-06,2026-04-10
8278,7772822,pm10,PM10,2024-01-28,2026-04-10
8278,7772850,pm25,PM2_5,2024-01-28,2026-04-10
8541,1702604,pm25,PM2_5,2022-03-09,2026-04-10
8541,24821,no2,NO2,2020-05-06,2026-04-10
8541,24820,o3,O3,2020-05-06,2026-04-10
8541,1764647,pm10,PM10,2022-04-14,2026-04-10
8540,5078350,o3,O3,2022-10-04,2026-04-10
8540,5078738,no2,NO2,2022-10-04,2026-04-10
221502,1287741,no2,NO2,2021-02-28,2024-01-28
221502,1287746,o3,O3,2021-02-28,2024-01-28
2162980,7772727,no2,NO2,2024-01-28,2026-04-10
2162980,7774395,o3,O3,2024-01-28,2026-04-10
2162958,7775148,no2,NO2,2024-01-28,2026-04-10
2162958,7772946,o3,O3,2024-01-28,2026-04-10
8207,23933,no2,NO2,2020-05-06,2026-04-10
8192,23935,no2,NO2,2020-05-06,2024-02-21
8192,23904,o3,O3,2020-05-06,2021-07-09
8193,23905,o3,O3,2020-05-08,2026-04-10
8193,23906,no2,NO2,2020-05-08,2026-04-10
8536,24806,no2,NO2,2020-05-06,2026-04-10
8536,24805,o3,O3,2020-05-06,2026-04-10
2163028,7776032,no2,NO2,2024-01-28,2025-12-17
2163028,7774013,o3,O3,2024-01-28,2025-12-17
7529,21941,no2,NO2,2018-01-29,2026-04-10
7529,21807,pm10,PM10,2018-01-28,2026-04-08
7529,21947,o3,O3,2018-01-29,2026-04-10
7529,21806,pm25,PM2_5,2018-01-28,2026-04-08
7614,22107,pm25,PM2_5,2020-03-28,2020-05-05
7614,22109,pm10,PM10,2017-11-01,2020-05-05
7614,22191,no2,NO2,2017-11-01,2020-05-05
7614,22188,o3,O3,2017-11-01,2020-05-05
7616,22177,pm10,PM10,2017-11-01,2020-05-05
7616,22112,pm25,PM2_5,2020-03-28,2020-05-05
7616,22181,o3,O3,2017-11-01,2020-05-05
7616,22185,no2,NO2,2017-11-01,2020-05-05
7620,22149,pm25,PM2_5,2020-03-28,2020-05-05
7620,22121,no2,NO2,2017-11-01,2020-05-05
7620,22146,pm10,PM10,2017-11-01,2020-05-05
7620,22126,o3,O3,2017-11-01,2020-05-05
7586,22166,pm25,PM2_5,2020-03-28,2020-05-05
7586,22023,o3,O3,2017-11-01,2020-05-01
7586,22159,no2,NO2,2017-11-01,2020-05-05
